rewindA_1_3	1	rewindA_1_3	1	L
rewindA_1_3	X	rewindA_1_3	X	L
rewindA_1_3	0	rewindA_1_3	0	L
rewindA_1_3	#	rewindA_1_3	#	L
rewindA_1_3	;	rewindA_1_3	;	L
rewindA_1_3	b	rewindA_1_3	b	L
rewindA_1_3	3	rewindA_1_3	3	L
rewindA_1_3	2	rewindA_1_3	2	L
rewindA_1_3	^	cmpA_1_3	^	R
rewindA_2_0	c	rewindA_2_0	c	L
rewindA_2_0	a	rewindA_2_0	a	L
rewindA_2_0	R	rewindA_2_0	R	L
rewindA_2_0	A	rewindA_2_0	A	L
rewindA_2_0	L	rewindA_2_0	L	L
rewindA_2_0	,	rewindA_2_0	,	L
rewindA_2_0	d	rewindA_2_0	d	L
rewindA_2_0	1	rewindA_2_0	1	L
rewindA_2_0	X	rewindA_2_0	X	L
rewindA_2_0	0	rewindA_2_0	0	L
rewindA_2_0	#	rewindA_2_0	#	L
rewindA_2_0	;	rewindA_2_0	;	L
rewindA_2_0	b	rewindA_2_0	b	L
rewindA_2_0	3	rewindA_2_0	3	L
rewindA_2_0	2	rewindA_2_0	2	L
rewindA_2_0	^	cmpA_2_0	^	R
rewindA_2_1	c	rewindA_2_1	c	L
rewindA_2_1	a	rewindA_2_1	a	L
rewindA_2_1	R	rewindA_2_1	R	L
rewindA_2_1	A	rewindA_2_1	A	L
rewindA_2_1	L	rewindA_2_1	L	L
rewindA_2_1	,	rewindA_2_1	,	L
rewindA_2_1	d	rewindA_2_1	d	L
rewindA_2_1	1	rewindA_2_1	1	L
rewindA_2_1	X	rewindA_2_1	X	L
rewindA_2_1	0	rewindA_2_1	0	L
rewindA_2_1	#	rewindA_2_1	#	L
rewindA_2_1	;	rewindA_2_1	;	L
rewindA_2_1	b	rewindA_2_1	b	L
rewindA_2_1	3	rewindA_2_1	3	L
rewindA_2_1	2	rewindA_2_1	2	L
rewindA_2_1	^	cmpA_2_1	^	R
rewindA_2_2	c	rewindA_2_2	c	L
rewindA_2_2	a	rewindA_2_2	a	L
rewindA_2_2	R	rewindA_2_2	R	L
rewindA_2_2	A	rewindA_2_2	A	L
rewindA_2_2	L	rewindA_2_2	L	L
rewindA_2_2	,	rewindA_2_2	,	L
rewindA_2_2	d	rewindA_2_2	d	L
rewindA_2_2	1	rewindA_2_2	1	L
rewindA_2_2	X	rewindA_2_2	X	L
rewindA_2_2	0	rewindA_2_2	0	L
rewindA_2_2	#	rewindA_2_2	#	L
rewindA_2_2	;	rewindA_2_2	;	L
rewindA_2_2	b	rewindA_2_2	b	L
rewindA_2_2	3	rewindA_2_2	3	L
rewindA_2_2	2	rewindA_2_2	2	L
rewindA_2_2	^	cmpA_2_2	^	R
rewindA_2_3	c	rewindA_2_3	c	L
rewindA_2_3	a	rewindA_2_3	a	L
rewindA_2_3	R	rewindA_2_3	R	L
rewindA_2_3	A	rewindA_2_3	A	L
rewindA_2_3	L	rewindA_2_3	L	L
rewindA_2_3	,	rewindA_2_3	,	L
rewindA_2_3	d	rewindA_2_3	d	L
rewindA_2_3	1	rewindA_2_3	1	L
rewindA_2_3	X	rewindA_2_3	X	L
rewindA_2_3	0	rewindA_2_3	0	L
rewindA_2_3	#	rewindA_2_3	#	L
rewindA_2_3	;	rewindA_2_3	;	L
rewindA_2_3	b	rewindA_2_3	b	L
rewindA_2_3	3	rewindA_2_3	3	L
rewindA_2_3	2	rewindA_2_3	2	L
rewindA_2_3	^	cmpA_2_3	^	R
rewindA_3_0	c	rewindA_3_0	c	L
rewindA_3_0	a	rewindA_3_0	a	L
rewindA_3_0	R	rewindA_3_0	R	L
rewindA_3_0	A	rewindA_3_0	A	L
rewindA_3_0	L	rewindA_3_0	L	L
rewindA_3_0	,	rewindA_3_0	,	L
rewindA_3_0	d	rewindA_3_0	d	L
rewindA_3_0	1	rewindA_3_0	1	L
rewindA_3_0	X	rewindA_3_0	X	L
rewindA_3_0	0	rewindA_3_0	0	L
rewindA_3_0	#	rewindA_3_0	#	L
rewindA_3_0	;	rewindA_3_0	;	L
rewindA_3_0	b	rewindA_3_0	b	L
rewindA_3_0	3	rewindA_3_0	3	L
rewindA_3_0	2	rewindA_3_0	2	L
rewindA_3_0	^	cmpA_3_0	^	R
rewindA_3_1	c	rewindA_3_1	c	L
rewindA_3_1	a	rewindA_3_1	a	L
rewindA_3_1	R	rewindA_3_1	R	L
rewindA_3_1	A	rewindA_3_1	A	L
rewindA_3_1	L	rewindA_3_1	L	L
rewindA_3_1	,	rewindA_3_1	,	L
rewindA_3_1	d	rewindA_3_1	d	L
rewindA_3_1	1	rewindA_3_1	1	L
rewindA_3_1	X	rewindA_3_1	X	L
rewindA_3_1	0	rewindA_3_1	0	L
rewindA_3_1	#	rewindA_3_1	#	L
rewindA_3_1	;	rewindA_3_1	;	L
rewindA_3_1	b	rewindA_3_1	b	L
rewindA_3_1	3	rewindA_3_1	3	L
rewindA_3_1	2	rewindA_3_1	2	L
rewindA_3_1	^	cmpA_3_1	^	R
rewindA_3_2	c	rewindA_3_2	c	L
rewindA_3_2	a	rewindA_3_2	a	L
rewindA_3_2	R	rewindA_3_2	R	L
rewindA_3_2	A	rewindA_3_2	A	L
rewindA_3_2	L	rewindA_3_2	L	L
rewindA_3_2	,	rewindA_3_2	,	L
rewindA_3_2	d	rewindA_3_2	d	L
rewindA_3_2	1	rewindA_3_2	1	L
rewindA_3_2	X	rewindA_3_2	X	L
rewindA_3_2	0	rewindA_3_2	0	L
rewindA_3_2	#	rewindA_3_2	#	L
rewindA_3_2	;	rewindA_3_2	;	L
rewindA_3_2	b	rewindA_3_2	b	L
rewindA_3_2	3	rewindA_3_2	3	L
rewindA_3_2	2	rewindA_3_2	2	L
rewindA_3_2	^	cmpA_3_2	^	R
rewindA_3_3	c	rewindA_3_3	c	L
rewindA_3_3	a	rewindA_3_3	a	L
rewindA_3_3	R	rewindA_3_3	R	L
rewindA_3_3	A	rewindA_3_3	A	L
rewindA_3_3	L	rewindA_3_3	L	L
rewindA_3_3	,	rewindA_3_3	,	L
rewindA_3_3	d	rewindA_3_3	d	L
rewindA_3_3	1	rewindA_3_3	1	L
rewindA_3_3	X	rewindA_3_3	X	L
rewindA_3_3	0	rewindA_3_3	0	L
rewindA_3_3	#	rewindA_3_3	#	L
rewindA_3_3	;	rewindA_3_3	;	L
rewindA_3_3	b	rewindA_3_3	b	L
rewindA_3_3	3	rewindA_3_3	3	L
rewindA_3_3	2	rewindA_3_3	2	L
rewindA_3_3	^	cmpA_3_3	^	R
cmpA_0_0	0	skip1_0_0	0	R
cmpA_0_0	1	skipA_0_0_9	1	R
cmpA_0_0	2	skipA_0_0_9	2	R
cmpA_0_0	3	skipA_0_0_9	3	R
cmpA_0_0	#	REJECT	#	R
skip1_0_0	,	cmpB_0_0	,	R
cmpB_0_0	0	passComma2	0	R
cmpB_0_0	1	skipB_0_0_7	1	R
cmpB_0_0	2	skipB_0_0_7	2	R
cmpB_0_0	3	skipB_0_0_7	3	R
skipA_0_0_9	,	skipA_0_0_8	,	R
skipA_0_0_8	0	skipA_0_0_7	0	R
skipA_0_0_8	1	skipA_0_0_7	1	R
skipA_0_0_8	2	skipA_0_0_7	2	R
skipA_0_0_8	3	skipA_0_0_7	3	R
skipA_0_0_7	,	skipA_0_0_6	,	R
skipA_0_0_6	0	skipA_0_0_5	0	R
skipA_0_0_6	1	skipA_0_0_5	1	R
skipA_0_0_6	2	skipA_0_0_5	2	R
skipA_0_0_6	3	skipA_0_0_5	3	R
skipA_0_0_6	A	skipA_0_0_5	A	R
